Date,Open,High,Low,Close,Volume,KDJ,W%R,RSI
1998/9/8,35.5,37.75,35.5,36.1875,4994100,0.305555556,0.694444444,0
1998/9/9,36.1875,36.1875,35.0625,35.25,4004300,0.166666667,0.833333333,1.9375
1998/9/10,34.5625,34.5625,33.625,33.875,4718300,0.266666667,0.733333333,2.375
1998/9/11,33.875,34.0625,33.5625,34,4035200,0.875,0.125,0.875
1998/9/14,34.0625,34.75,34.0625,34.375,3756900,0.454545455,0.545454545,0.625
1998/9/15,34.375,34.9375,34.125,34.25,3785000,0.153846154,0.846153846,1.125
1998/9/16,34.25,34.6875,34,34.5,5677100,0.727272727,0.272727273,0.75
1998/9/17,34.375,34.375,33.5625,34.0625,3066700,0.615384615,0.384615385,1.4375
1998/9/18,34.1875,34.625,34.1875,34.4375,3619000,0.571428571,0.428571429,0.625
1998/9/21,34.4375,34.75,33.875,34,3469000,0.142857143,0.857142857,1.4375
1998/9/22,34,34.625,34,34.1875,3439900,0.3,0.7,0.8125
1998/9/23,34.1875,34.6875,33.6875,33.8125,7053800,0.125,0.875,1.375
1998/9/24,33.8125,34.5,33.6875,34.5,3805200,1,0,0.3125
1998/9/25,34.5,34.9375,34.125,34.6875,2180000,0.692307692,0.307692308,0.8125
1998/9/28,34.75,35.375,34.75,34.9375,3180000,0.3,0.7,0.75
1998/9/29,34.9375,35.9375,34.75,35.5625,2519100,0.684210526,0.315789474,0.375
1998/9/30,35.5625,36.25,34.3125,34.3125,3869700,0,1,2.25
1998/10/1,34.3125,34.3125,32.25,32.3125,4304000,0.03030303,0.96969697,3
1998/10/2,32.3125,32.9375,31.75,32.5625,4589900,0.684210526,0.315789474,0.75
1998/10/5,32.5625,33.5,31.5625,33.25,3027100,0.870967742,0.129032258,0.3125
1998/10/6,33.25,33.5,32.625,32.9375,2942400,0.357142857,0.642857143,1.3125
1998/10/7,32.9375,33,31.375,32.125,3290600,0.461538462,0.538461538,1.8125
1998/10/8,31.8125,31.8125,29.5,30.875,5766100,0.594594595,0.405405405,2.25
1998/10/9,31.1875,32.125,31.1875,32,3823000,0.866666667,0.133333333,-0.125
1998/10/12,32.75,33.4375,32.75,33.125,3521000,0.545454545,0.454545455,-0.125
1998/10/13,33.125,33.5,32.9375,33.375,3637000,0.777777778,0.222222222,0.75
1998/10/14,33.375,34,33.1875,33.5,2980200,0.384615385,0.615384615,0.875
1998/10/15,33.5,34.375,32.5,33.9375,2764000,0.766666667,0.233333333,0.5625
1998/10/16,33.9375,34.875,31.75,32.25,5088500,0.16,0.84,2.6875
1998/10/19,32.5625,34.5625,32.5625,34.4375,4619200,0.9375,0.0625,-1.1875
1998/10/20,34.8125,36.3125,34.8125,35.9375,5357700,0.75,0.25,-0.5
1998/10/21,35.9375,36.375,35.0625,36,3382900,0.714285714,0.285714286,0.9375
1998/10/22,36,37.5,36,36.4375,5217900,0.291666667,0.708333333,0.5625
1998/10/23,36.4375,36.8125,35.1875,35.6875,3504900,0.307692308,0.692307692,1.75
1998/10/26,35.6875,36,35.0625,35.125,2241000,0.066666667,0.933333333,1.5625
1998/10/27,35.1875,35.8125,35.1875,35.5,2404200,0.5,0.5,0.625
1998/10/28,35.5625,36.5,35.5625,35.9375,3326400,0.4,0.6,0.5625
1998/10/29,35.9375,36.5,35.1875,36.25,2882000,0.80952381,0.19047619,0.6875
1998/10/30,36.4375,37.875,36.4375,37.5625,4298400,0.782608696,0.217391304,-0.3125
