Date,Open,High,Low,Close,Volume,KDJ,W%R,RSI
1997/5/7,14.3125,14.40625,14,14.125,6491200,0.307692308,-0.692307692,0
1997/5/8,14.1875,14.6875,14.1875,14.625,10392800,0.875,-0.125,0.5
1997/5/9,14.625,14.625,14.375,14.5,5158800,0.5,-0.5,1.125
1997/5/12,14.46875,14.9375,14.46875,14.875,7276800,0.866666667,-0.133333333,0.625
1997/5/13,15,15.09375,14.5,15,14121800,0.842105263,-0.157894737,0.875
1997/5/14,15.0625,15.125,15,15.0625,8968600,0.5,-0.5,0.9375
1997/5/15,15,15.25,14.9375,15.25,7079600,1,0,0.8125
1997/5/16,15.25,15.25,14.9375,14.9375,9377800,0,-1,1.3125
1997/5/19,15,15.25,14.9375,15.25,4611400,1,0,0.6875
1997/5/20,15.125,15.25,15.125,15.25,4256400,1,0,0
1997/5/21,15.25,15.3125,14.9375,15,7292000,0.166666667,-0.833333333,1.25
1997/5/22,15.0625,15.125,14.75,14.875,4103600,0.333333333,-0.666666667,1.125
1997/5/23,15,15.0625,14.875,15.0625,2977400,1,0,0.8125
1997/5/27,14.8125,15.0625,14.75,14.9375,3677000,0.6,-0.4,1.125
1997/5/28,14.9375,15.0625,14.875,15,5154200,0.666666667,-0.333333333,0.9375
1997/5/29,15,15.1875,14.875,15.0625,4498400,0.6,-0.4,0.9375
1997/5/30,15,15,14.875,14.9375,4833200,0.5,-0.5,1.125
1997/6/2,15,15.3125,14.9375,15.1875,6997600,0.666666667,-0.333333333,0.75
1997/6/3,15.25,15.5625,15.25,15.4375,8021000,0.6,-0.4,0.75
1997/6/4,15.375,15.625,15.3125,15.4375,7040800,0.4,-0.6,0
1997/6/5,15.5,15.59375,15.4375,15.5,5768400,0.4,-0.6,0.9375
1997/6/6,15.375,15.6875,15.3125,15.6875,5191600,1,0,0.8125
1997/6/9,15.8125,15.9375,15.71875,15.9375,5852200,1,0,0.75
1997/6/10,16,16,15.6875,15.6875,7141400,0,-1,1.25
1997/6/11,15.5,15.75,15.4375,15.6875,7370200,0.8,-0.2,0
1997/6/12,15.75,15.875,15.6875,15.8125,7285000,0.666666667,-0.333333333,0.875
1997/6/13,15.875,16.0625,15.875,16,7488200,0.666666667,-0.333333333,0.8125
1997/6/16,16.0625,16.5,16.0625,16.4375,7177600,0.857142857,-0.142857143,0.5625
1997/6/17,16.5625,16.75,16.5,16.6875,8668400,0.75,-0.25,0.75
1997/6/18,16.5,16.5625,16.4375,16.5,4703400,0.5,-0.5,1.1875
1997/6/19,16.5,16.5625,16.4375,16.5,5087200,0.5,-0.5,0
1997/6/20,16.5625,16.875,16.5,16.875,11852000,1,0,0.625
1997/6/23,16.75,16.875,16.3125,16.3125,4654600,0,-1,1.5625
1997/6/24,16.3125,16.8125,16.25,16.78125,5773800,0.944444444,-0.055555556,0.53125
1997/6/25,16.78125,16.90625,16.125,16.34375,9015800,0.28,-0.72,1.4375
1997/6/26,16.4375,16.8125,16.34375,16.5,6051600,0.333333333,-0.666666667,0.84375
1997/6/27,16.625,16.65625,16.34375,16.34375,5120400,0,-1,1.15625
1997/6/30,16.5625,16.96875,16.375,16.90625,8478600,0.894736842,-0.105263158,0.4375
1997/7/1,16.96875,17.03125,16.8125,16.96875,7282000,0.714285714,-0.285714286,0.9375
1997/7/2,17,17.25,16.8125,17.25,4709600,1,0,0.71875
1997/7/3,17.40625,17.78125,17.40625,17.71875,6471400,0.833333333,-0.166666667,0.53125
1997/7/7,17.84375,18,17.5,17.59375,8523600,0.1875,-0.8125,1.125
1997/7/8,17.53125,17.5625,17.40625,17.5,4510800,0.6,-0.4,1.09375
1997/7/9,17.53125,17.59375,16.59375,16.8125,8805200,0.21875,-0.78125,1.6875
1997/7/10,17,17.75,17,17.53125,10703600,0.708333333,-0.291666667,0.28125
1997/7/11,17.5625,17.75,17.53125,17.71875,6099800,0.857142857,-0.142857143,0.8125
1997/7/14,17.78125,17.875,17.65625,17.84375,7645800,0.857142857,-0.142857143,0.875
1997/7/15,17.84375,17.875,17.53125,17.875,5570200,1,0,0.96875
1997/7/16,17.84375,18,17.78125,17.90625,6320800,0.571428571,-0.428571429,0.96875
1997/7/17,17.875,17.90625,17.6875,17.75,7179800,0.285714286,-0.714285714,1.15625
1997/7/18,17.625,18.03125,17.3125,17.5,8954400,0.260869565,-0.739130435,1.25
1997/7/21,17.4375,17.875,17.40625,17.875,10963000,1,0,0.625
1997/7/22,17.875,18.09375,17.71875,18.0625,9170000,0.916666667,-0.083333333,0.8125
1997/7/23,18.09375,18.5625,17.78125,18.25,13508200,0.6,-0.4,0.8125
1997/7/24,18.40625,18.625,18.15625,18.5,6680200,0.733333333,-0.266666667,0.75
1997/7/25,18.59375,19.375,18.59375,19.1875,10161000,0.76,-0.24,0.3125
1997/7/28,19.125,19.5625,19.125,19.28125,7858600,0.357142857,-0.642857143,0.90625
1997/7/29,19.34375,19.375,18.75,18.875,6814400,0.2,-0.8,1.40625
1997/7/30,18.96875,19.03125,18.8125,18.9375,5946600,0.571428571,-0.428571429,0.9375
1997/7/31,18.84375,18.9375,18.75,18.75,4621800,0,-1,1.1875
1997/8/1,18.75,18.75,18.125,18.34375,7329000,0.35,-0.65,1.40625
1997/8/4,18.375,19.125,18.375,18.9375,6059400,0.75,-0.25,0.40625
1997/8/5,18.9375,18.96875,18.6875,18.8125,3881000,0.444444444,-0.555555556,1.125
1997/8/6,18.71875,19.21875,18.6875,19.1875,6216800,0.941176471,-0.058823529,0.625
1997/8/7,19.28125,19.5,18.96875,19.03125,6682600,0.117647059,-0.882352941,1.15625
1997/8/8,18.875,19,18.09375,18.53125,5889000,0.482758621,-0.517241379,1.5
1997/8/11,18.59375,18.625,18.21875,18.5,6363800,0.692307692,-0.307692308,1.03125
1997/8/12,18.5625,18.75,17.875,17.96875,7440400,0.107142857,-0.892857143,1.53125
1997/8/13,18.25,18.625,17.875,18.46875,9353600,0.791666667,-0.208333333,0.5
1997/8/14,18.53125,18.53125,17.53125,17.90625,6712600,0.375,-0.625,1.5625
1997/8/15,17.5,17.96875,17.375,17.53125,11314000,0.263157895,-0.736842105,1.375
1997/8/18,17.59375,17.9375,17.40625,17.84375,5781600,0.823529412,-0.176470588,0.6875
1997/8/19,17.90625,17.96875,17.59375,17.9375,5638200,0.916666667,-0.083333333,0.90625
1997/8/20,17.96875,18.78125,17.96875,18.59375,8134600,0.769230769,-0.230769231,0.34375
1997/8/21,18.65625,18.6875,18.21875,18.34375,4458800,0.266666667,-0.733333333,1.25
1997/8/22,18,18.25,17.5,18.125,8065200,0.833333333,-0.166666667,1.21875
1997/8/25,18.125,18.46875,18,18.375,4053600,0.8,-0.2,0.75
1997/8/26,18.28125,18.46875,17.875,18.03125,4279800,0.263157895,-0.736842105,1.34375
1997/8/27,17.90625,18.15625,17.65625,17.96875,4465600,0.625,-0.375,1.0625
1997/8/28,17.75,18.125,17.625,17.78125,4469000,0.3125,-0.6875,1.1875
1997/8/29,17.6875,17.90625,17.59375,17.75,3977400,0.5,-0.5,1.03125
1997/9/2,17.96875,18.84375,17.9375,18.84375,6798000,1,0,-0.09375
1997/9/3,18.8125,19.15625,18.78125,19,6731000,0.583333333,-0.416666667,0.84375
1997/9/4,18.96875,19.34375,18.9375,19.03125,5832800,0.230769231,-0.769230769,0.96875
1997/9/5,19.0625,19.28125,18.5,18.90625,5059000,0.52,-0.48,1.125
1997/9/8,19.21875,19.25,18.96875,19.15625,3841200,0.666666667,-0.333333333,0.75
1997/9/9,19.21875,19.53125,19.0625,19.3125,6373600,0.533333333,-0.466666667,0.84375
1997/9/10,19.25,19.75,18.75,18.8125,7342200,0.0625,-0.9375,1.5
1997/9/11,18.75,19.0625,18.53125,19.0625,6923200,1,0,0.75
1997/9/12,19.0625,19.5,18.59375,19.375,5563200,0.862068966,-0.137931034,0.6875
1997/9/15,19.40625,19.53125,19.09375,19.125,3221000,0.071428571,-0.928571429,1.25
1997/9/16,19.375,19.5,19,19.125,8188200,0.25,-0.75,0
1997/9/17,19.15625,19.3125,19,19,5926600,0,-1,1.125
1997/9/18,19.09375,19.40625,18.875,18.9375,5407800,0.117647059,-0.882352941,1.0625
1997/9/19,18.9375,19.21875,18.75,19.125,10006600,0.8,-0.2,0.8125
1997/9/22,19.125,19.78125,19.03125,19.2031,4088000,0.229133333,-0.770866667,0.9219
1997/9/23,19.09375,19.125,18.4375,18.53125,6539400,0.136363636,-0.863636364,1.67185
1997/9/24,18.65625,18.71875,18.25,18.34375,6026800,0.2,-0.8,1.1875
1997/9/25,18.34375,18.5,17.90625,17.96875,5160800,0.105263158,-0.894736842,1.375
1997/9/26,18.03125,18.21875,18.03125,18.125,5103600,0.5,-0.5,0.84375
1997/9/29,18.15625,18.4375,18.125,18.375,4080200,0.8,-0.2,0.75
1997/9/30,18.34375,18.4375,18.28125,18.3125,4639000,0.2,-0.8,1.0625
1997/10/1,18.46875,18.53125,18.375,18.46875,5960800,0.6,-0.4,0.84375
1997/10/2,18.34375,18.53125,18.25,18.4375,5407800,0.666666667,-0.333333333,1.03125
1997/10/3,18.625,18.625,18.28125,18.5,5977600,0.636363636,-0.363636364,0.9375
1997/10/6,18.5,18.5625,18.34375,18.4375,4097000,0.428571429,-0.571428571,1.0625
1997/10/7,18.3125,18.4375,18.28125,18.28125,4512200,0,-1,1.15625
1997/10/8,18.34375,18.34375,17.75,17.96875,6890600,0.368421053,-0.631578947,1.3125
1997/10/9,17.75,17.9375,17.625,17.65625,6177400,0.1,-0.9,1.3125
1997/10/10,17.59375,18,17.53125,17.9375,5204600,0.866666667,-0.133333333,0.71875
1997/10/13,17.9375,18.03125,17.8125,17.84375,3527000,0.142857143,-0.857142857,1.09375
1997/10/14,18.125,18.125,17.84375,18,5402800,0.555555556,-0.444444444,0.84375
1997/10/15,17.875,18.34375,17.875,18.0625,5505400,0.4,-0.6,0.9375
1997/10/16,18.25,18.4375,17.53125,17.84375,4598000,0.344827586,-0.655172414,1.21875
1997/10/17,17.75,17.84375,17,17.34375,6395600,0.407407407,-0.592592593,1.5
1997/10/20,17.34375,17.71875,17.03125,17.71875,4094200,1,0,0.625
1997/10/21,17.6875,18.0625,17.6875,18.03125,4833000,0.916666667,-0.083333333,0.6875
1997/10/22,18.125,18.28125,17.71875,17.8125,4066800,0.166666667,-0.833333333,1.21875
1997/10/23,17.3125,17.6875,17.125,17.5625,5362800,0.777777778,-0.222222222,1.25
1997/10/24,17.8125,17.8125,16.84375,17.03125,5482000,0.193548387,-0.806451613,1.53125
1997/10/27,16.90625,17.375,15.46875,16.09375,9108600,0.327868852,-0.672131148,1.9375
1997/10/28,15.1875,17.5,15.125,17.28125,15899800,0.907894737,-0.092105263,-0.1875
1997/10/29,17.28125,17.9375,17.15625,17.375,7589200,0.28,-0.72,0.90625
1997/10/30,17.0625,18.25,17.0625,17.375,8361200,0.263157895,-0.736842105,0
1997/10/31,17.71875,17.90625,17.125,17.5,4358200,0.48,-0.52,0.875
1997/11/3,18.3125,18.4375,17.96875,18.15625,5115200,0.4,-0.6,0.34375
1997/11/4,18.09375,18.21875,17.9375,18.1875,3871400,0.888888889,-0.111111111,0.96875
1997/11/5,18.25,18.28125,18.03125,18.03125,4265600,0,-1,1.15625
1997/11/6,18.03125,18.5,18.03125,18.4375,5898400,0.866666667,-0.133333333,0.59375
1997/11/7,18.125,18.21875,17.875,18.125,4713800,0.727272727,-0.272727273,1.3125
1997/11/10,18.3125,18.53125,18.25,18.3125,4373200,0.222222222,-0.777777778,0.8125
1997/11/11,18.5,18.8125,18.4375,18.5625,4364200,0.333333333,-0.666666667,0.75
1997/11/12,18.4375,19.15625,18.40625,18.96875,10488800,0.75,-0.25,0.59375
1997/11/13,19.125,19.3125,19,19.1875,6268800,0.6,-0.4,0.78125
1997/11/14,19.4375,19.8125,19.40625,19.75,8622600,0.846153846,-0.153846154,0.4375
1997/11/17,20,20.4375,19.875,19.90625,10570200,0.055555556,-0.944444444,0.84375
1997/11/18,19.90625,19.9375,19.5625,19.625,6435400,0.166666667,-0.833333333,1.28125
1997/11/19,19.5,19.96875,19.375,19.71875,6150200,0.578947368,-0.421052632,0.90625
1997/11/20,19.875,20.0625,19.84375,19.96875,5102200,0.571428571,-0.428571429,0.75
