Date,Open,High,Low,Close,Volume,KDJ ,W%R ,RSI,label
2011/10/3,54.33857,54.662857,53.310001,53.514286,167274800,-0.770965909,-0.795715,0,0
2011/10/4,53.509998,54.542858,50.605713,53.214287,308419300,1.680758428,1.608574,231.8958339,-0.828572
2011/10/5,52.55143,54.259998,51.471428,54.035713,196617400,1.615677741,1.564285,-11.56852606,-0.958568
2011/10/6,53.332859,54.968571,53.114285,53.91,203145600,-0.170551433,-0.204285,483.8696443,0.781429
2011/10/7,53.682858,53.962856,52.64143,52.828571,133864500,-0.788371304,-0.812859,103.7607068,0.349999
2011/10/10,54.155716,55.544285,54.029999,55.544285,110628700,0.541548679,0.514286,33.3756496,0.472858
2011/10/11,56.081429,57.597141,55.92857,57.184284,151421900,0.284683684,0.255714,21.67579789,1.925713
2011/10/12,58.191429,58.464287,57.162857,57.455715,155571500,-0.684881744,-0.707142,-153.492772,2.11
2011/10/13,57.854286,58.347141,57.549999,58.347141,106546300,-0.189195942,-0.202858,-6.997997366,-0.337143
2011/10/14,59.547142,60.285713,59.324287,60.285713,143341800,-0.022626175,-0.038574,28.24914051,1.692856
2011/10/17,60.248573,60.957142,59.419998,59.998573,171511200,-0.396208201,-0.421425,270.2380464,0.701431
2011/10/18,60.251427,60.687141,59.427143,60.32,220400600,-0.086380809,-0.107143,-126.6645667,0.002854
2011/10/19,57.335712,58.345715,56.828571,56.945713,276014900,-0.856855336,-0.882858,78.19636914,-2.915715
2011/10/20,57.142857,57.192856,56.315716,56.472858,137317600,-0.827521469,-0.842858,177.3752591,-0.192855
2011/10/21,56.871429,57.02,55.82143,56.124287,155311100,-0.676122832,-0.697143,218.4853547,-0.271428
2011/10/24,56.597141,58.07143,56.485714,57.967144,125534500,0.508736302,0.48143,25.66924518,-0.274288
2011/10/25,57.861427,58.078571,56.76857,56.824287,107606800,-0.921727331,-0.944283,108.6884013,1.264286
2011/10/26,57.394287,57.507141,56.164288,57.228573,114076200,0.087636065,0.064285,-83.73038717,-0.46714
2011/10/27,58.222858,58.42857,57.412857,57.812859,123666200,-0.582614158,-0.599998,-40.71759206,0.828571
2011/10/28,57.57143,58.049999,57.501427,57.849998,80710700,-0.641979008,-0.651429,-1498.848844,-0.651428
2011/10/31,57.488571,58.475716,57.292858,57.825714,96375300,-0.446915808,-0.467144,2440.076896,-0.082859
2011/11/1,56.772858,57.07143,56.174286,56.644287,132947500,-0.514279331,-0.529999,106.7713653,-0.715713
2011/11/2,57.155716,57.205715,56.444286,56.772858,81837700,-0.658117634,-0.671428,-383.9238582,0.382858
2011/11/3,57.009998,57.628571,56.48,57.581429,110346600,0.121359583,0.101429,-13.44096119,-0.145718
2011/11/4,57.432858,57.634285,57.022858,57.177143,75557300,-0.835106263,-0.845715,200.0088912,0.42286
2011/11/7,57.130001,57.142857,56.59,57.104286,67568900,-0.476039002,-0.485714,841.9629975,-0.302857
2011/11/8,57.458572,58.285713,57.365715,58.032856,100110500,-0.31707472,-0.332859,-4.392731995,0.328571
2011/11/9,56.709999,57.27,56.318573,56.468571,139671000,-0.833388991,-0.850002,95.13150235,-0.748573
2011/11/10,56.718571,56.744286,54.592857,55.031429,186188100,-0.523513539,-0.561428,95.76084066,0.008572
2011/11/11,55.23,55.528572,54.322857,54.945713,163446500,-0.355430584,-0.377144,697.0519269,-1.488571
2011/11/14,54.78857,55.035713,54.028572,54.18,108226300,-0.830272228,-0.848572,126.7032945,-0.44143
2011/11/15,54.400002,55.642857,54.207142,55.547142,107702700,0.365802324,0.34,14.54988111,-0.388568
2011/11/16,55.607143,55.877144,54.902859,54.967144,87302600,-0.918278801,-0.935715,151.3184067,1.207141
2011/11/17,54.854286,54.939999,53.642857,53.915714,119975100,-0.703532843,-0.727143,107.2456067,-0.752857
2011/11/18,54.131428,54.284286,53.554287,53.562859,92984500,-0.977980296,-0.991428,206.714212,-0.722858
2011/11/21,52.914288,53.097141,52.272858,52.715714,111995100,-0.541619944,-0.557144,116.7903572,-1.21714
2011/11/22,53.002857,53.990002,52.991428,53.787144,102255300,-0.185788464,-0.204284,3.514446535,0.088569
2011/11/23,53.501427,53.691429,52.41143,52.427143,107067800,-0.960447087,-0.984287,93.33648551,0.49857
2011/11/25,52.631428,53.021427,51.902859,51.938572,63690200,-0.943190472,-0.964287,159.734255,-0.869999
2011/11/28,53.192856,53.817142,52.904285,53.73143,86603300,-0.155892802,-0.172855,22.96886442,0.561428
2011/11/29,53.691429,54.118572,52.885715,53.314285,93963800,-0.548649336,-0.57143,182.5389909,0.498573
2011/11/30,54.470001,54.611427,54.042858,54.599998,101484600,-0.432448827,-0.44286,11.84757742,0.778572
2011/12/1,54.648571,55.57143,54.392857,55.418571,96795300,0.046922254,0.025714,-12.10144219,0.17857
2011/12/2,55.689999,56.232857,55.511429,55.671429,94763900,-0.827170703,-0.84,-163.7501759,1.041428
2011/12/5,56.212856,56.630001,55.77,56.144287,89302500,-0.610526686,-0.625713,-62.06249746,0.522857
2011/12/6,56.072857,56.375713,55.625713,55.849998,70899500,-0.762411399,-0.775715,246.9237147,-0.139999
2011/12/7,55.704285,55.848572,55.251427,55.584286,76186600,-0.656448784,-0.667141,266.0399706,-0.368572
2011/12/8,55.921429,56.5,55.747143,55.808571,94089100,-0.925247097,-0.938572,-192.24453,0.217144
2011/12/9,56.121429,56.291428,55.861427,56.23143,74248300,-0.622358164,-0.629997,-76.17057808,0.2
2011/12/12,55.954285,56.271427,55.635715,55.977142,75266800,-0.647275757,-0.658573,277.3642794,-0.167144
2011/12/13,56.142857,56.485714,55.299999,55.544285,84732200,-0.734722586,-0.755714,185.2973147,0.188572
2011/12/14,55.242859,55.34,53.954285,54.312859,101721900,-0.616385975,-0.641426,100.6499471,-0.899998
2011/12/15,54.761429,54.82,54.044285,54.134285,64050000,-0.895849781,-0.91,358.4604897,-0.48143
2011/12/16,54.337143,54.878571,54.224285,54.431427,105369600,-0.780935569,-0.792858,-128.0489304,-0.424286
2011/12/19,54.638573,54.978573,54.354286,54.601429,58882600,-0.741501904,-0.752857,-265.7496709,0.30143
