Date	Title
2011-10-20 	Tech wrap: Basic phones lift Nokia to profit
2011-10-28 	Tech wrap: Google takes another shot at TV
2011-11-04 	Samsung is calling fine artists
2011-11-11 	GoogleTV: Another partner says bye-bye
2011-11-22 	Tech wrap: Is intellectual property being used to restrict competition?
2011-11-29 	Micron enlists IBM to speed up memory chips
2011-12-07 	SuVolta takes wraps off battery-friendly chip technology
2011-12-14 	Samsung takes the Sony media route with ex-AOL, ex-YouTube hire
2012-01-02 	Seoul shares up led by refiners; Samsung Elec hits new record
2012-01-03 	Seoul shares rise on Europe rally; Samsung Elec sets new high
2012-01-03 	REFILE-Seoul shares seen up; investors await Samsung guidance
2012-01-03 	S. Korea approves Samsung's flash chip plant in China
2012-01-03 	S.Korea approves Samsung's flash chip plant in China
2012-01-04 	Samsung aims 15 pct growth in 2012 air conditioning sales
2012-01-04 	Seoul shares dip 0.5 pct as tech issues ease
2012-01-04 	Huawei dismisses U.S. calls for probe over Iran business
2012-01-05 	South Korea's SK Group chairman charged with embezzlement
2012-01-05 	Asia Fuel Oil-S.Korea EWP seeks 100,000 T for Jan
2012-01-05 	Asia Naphtha-S Korea Samsung Total buys H2 Feb vols
2012-01-05 	Samsung estimates record Q4 profit on strong smartphone sales
2012-01-05 	Samsung estimates record Q4 profit on strong smartphones
2012-01-06 	Tech wrap: Samsung savors smartphone supremacy
2012-01-06 	Seoul shares fall; construction firms lead losses
2012-01-06 	LG Elec says joins Google to roll out Google TV
2012-01-06 	Nokia buys Norwegian startup Smarterphone for low-end push
2012-01-06 	Seoul shares down as institutions turn sellers
2012-01-07 	Sony says executive changes not yet determined
2012-01-09 	CES: Samsung aims for 16 percent boost in 2012 TV sales
2012-01-09 	Samsung unveils new tablet, available via Verizon
2012-01-09 	S.Korea's Samsung Total says to build $1.7 billion aromatic plant
2012-01-09 	S.Korea's Samsung Total says to build $1.7 bln aromatic plant
2012-01-10 	Samsung will focus more on profit than handset volume
2012-01-10 	News Corp's The Daily may have launched a year too early
2012-01-11 	Samsung Elec no longer interested in Olympus buy -Samsung source
2012-01-11 	EU launches WTO suit on Canadian renewable power
2012-01-12 	Samsung may consider alliance with Olympus: source
2012-01-12 	Chinasoft says Huawei to buy 40 pct of outsourcing venture
2012-01-13 	KCC shares jump after $602 million Hyundai Heavy stake sale
2012-01-15 	S.Korea shares tumble over 1.5 pct but foreign buying continues
2012-01-15 	Samsung Heavy says signs $2.3 bln deal with Inpex
2012-01-15 	Samsung plans $1 bln debt sale to fund U.S. chip plant
2012-01-15 	Samsung Heavy says signs $2.3 billion deal with Inpex
2012-01-16 	Samsung plans $1 billion debt sale to fund U.S. chip plant
2012-01-16 	S.Korea KOSPI rises on programme bids; brokerages soar
2012-01-17 	ASML Q1 order book eyed for chip uptick
2012-01-17 	ZTE sees China, U.S. key smartphone markets
2012-01-17 	Tech wrap: Is Samsung buying RIM?
2012-01-17 	Samsung Group plans record $41 billion investment in 2012
2012-01-18 	Cellphone makers can expect poor reception in 2012
2012-01-19 	Sony Ericsson loss heralds tough start for sole owner
2012-01-19 	ZTE shares log biggest fall in 5 months on slew of rumors
2012-01-19 	Seoul shares climb to fresh 5-week high
2012-01-19 	Seoul shares hit 5-week high led by tech issues
2012-01-20 	Samsung suffers German court setback in Apple battle
2012-01-20 	Samsung says German court rules against it in Apple suit
2012-01-20 	Sony, Panasonic debt ratings cut on TV losses
2012-01-21 	South Korea decries U.S. washing machine probe
2012-01-23 	Analysts to new RIM CEO: Just launch better phones already
2012-01-24 	Tech wrap: Apple earnings lay waste to expectations
2012-01-24 	S.Korea shares hit near 6-month intraday peak
2012-01-24 	Apple again loses Dutch bid for Samsung tablet ban
2012-01-25 	Core suppliers savor bigger Apple pie
2012-01-25 	Seoul shares retreat from 6-mth peak to close flat
2012-01-25 	RIM shares bounce back after shuffle-related drop
2012-01-25 	SanDisk warns of tough first half of 2012
2012-01-26 	TABLE-Samsung reports record Q4 profit on handsets
2012-01-26 	Analysis: Asia may not be such easy pickings for Apple
2012-01-26 	LG Display Q4 loss narrows as TV panel prices stabilise
2012-01-27 	Seoul shares post thin gain led by brokerages
2012-01-27 	Tech wrap: Apple cares, says CEO Tim Cook
2012-01-29 	Seoul shares dip on profit-taking; auto issues tumble
2012-01-29 	Samsung Eng says aims to win $14.3 bln orders in 2012
2012-01-31 	EU opens antitrust investigation into Samsung over patents
2012-01-31 	EU regulators investigate Samsung over mobile patents
2012-01-31 	REFILE-UPDATE 1-Samsung Sec to slash jobs, suspend brokerage ops in Hong Kong
2012-01-31 	Samsung Sec says to slash jobs, suspend brokerage ops in Hong Kong
2012-02-01 	Seoul shares seen up, may test 2,000 level resistance
2012-02-01 	Elpida seen posting $1.6 billion annual loss: NHK
2012-02-02 	Scailex explores Partner stake sale, options
2012-02-06 	HTC sees Q1 revenue falling as much as 36 percent
2012-02-06 	CORRECTED-HTC sees Q1 revenue falling as much as 36 pct
2012-02-07 	Wolfson expects another weak quarter before recovery
2012-02-07 	HTC shares tumble on weak Q1; focus shifts to new models
2012-02-07 	Samsung Elec says TV sales stronger than year ago
2012-02-08 	Lenovo Q3 profit up 54 pct, beats forecasts
2012-02-08 	Samsung says TV sales stronger; plans to launch low-end TVs
2012-02-09 	CEO Hirai to network Sony content and gadgets, be tough on costs
2012-02-10 	EU's Almunia warns firms against abusing patents
2012-02-10 	Huawei says smartphone shipments up five-fold in 2011
2012-02-10 	U.S. air force plans purchase of up to 18,000 iPads
2012-02-12 	Seoul shares pare early gains, shipbuilders lower
2012-02-12 	Apple launches new legal attack on Samsung phones
2012-02-13 	US STOCKS-Futures gain after Greece approves deal
2012-02-13 	S.Korea's Samsung Heavy inks $2.7 bln deal with Inpex
2012-02-13 	S.Korea's Samsung Heavy inks $2.7 billion deal with Inpex
2012-02-13 	S.Korea's KT wants Internet-TV profit split with Google, Apple
2012-02-13 	Seoul shares seen up on global stock rally as Greece passes reforms
2012-02-13 	US STOCKS-Wall St up on Greece, nears resistance
2012-02-13 	Wall St up on Greece, nears resistance
2012-02-13 	US STOCKS-Greek vote lifts Wall St near 7-mo highs
2012-02-13 	Scandal-hit Olympus forecasts $412 mln annual loss
2012-02-13 	US STOCKS-Banks lead Wall St higher after Greek deal
2012-02-13 	US STOCKS-Futures climb as Greece deal approved
2012-02-14 	Samsung says considering options for LCD business
2012-02-15 	Samsung sees tough European market improving in H2
2012-02-15 	2012 Olympics gives Samsung a window on European
2012-02-15 	2012 Olympics give Samsung a window on European market
2012-02-15 	INTERVIEW-Olympics-2012 gives Samsung a window on European market
2012-02-15 	Samsung Elec rally lifts Seoul shares to 6-mth high
2012-02-15 	Seoul shares climb to 6-mth closing high; Samsung Elec rallies
2012-02-15 	Nvidia warns of chip supplies and loss of Samsung
2012-02-16 	TEXT: Fitch: Elpida Exit Would Be Positive for Rival DRAM Producers
2012-02-17 	Seoul shares close up 1.3 pct to round off 7-week rally
2012-02-18 	Motorola Mobility says Apple files EU patent complaint
2012-02-19 	Seoul shares up but pare gains after setting 6-mth intraday high
2012-02-20 	Japanese firms seek Europe phone market share
2012-02-20 	TriQuint launches new module, sees rev from Q3
2012-02-20 	Apple's legal woes in China offer hope to rivals
2012-02-20 	Samsung shifts to new TV technology with LCD spin off
2012-02-22 	Samsung says sales of Galaxy S II phones top 20 mln
2012-02-23 	AU Optronics says sees room to increase some panel prices
2012-02-23 	Seoul shares end lower, tech issues drag
2012-02-24 	S.Korea's Samsung Heavy wins $1.1 bln drill ship order
2012-02-26 	Samsung exec says targets 380 mln handset sales this year -reports
2012-02-26 	Samsung aims to nearly double smartphone sales in 2012
2012-02-27 	Seoul share edge up; chipmakers jump on Elpida bankruptcy
2012-02-27 	Apple defeats Motorola in German court
2012-02-28 	S.Korea KOSPI rises on broad large-cap rally
2012-02-28 	Seoul shares seen up, output data may lend support
2012-02-28 	S.Korea KOSPI closes up 0.63 pct; chipmakers rally
2012-02-28 	Korea's richest man hit with second family lawsuit
2012-02-28 	Elpida bankruptcy opens door for Samsung, Micron
2012-02-29 	S.Korea KOSPI hits 7-month closing peak led by large-caps
2012-02-29 	HTC says to sell more smartphones in 2012
2012-02-29 	Universal Display slides on Samsung deal concerns
2012-03-02 	German court rejects two Apple-Samsung patent suits
2012-03-05 	S.Korea KOSPI pulls back from 7-mth high on profit-taking
2012-03-06 	Intel launches high-end server chip for the cloud
2012-03-06 	Samsung says no interest in Elpida, concerned about rival deals
2012-03-07 	Samsung files fresh lawsuit against Apple in S.Korea
2012-03-07 	Samsung files fresh lawsuit against Apple in South Korea
2012-03-07 	US STOCKS-Futures bounce back from losses; ADP jobs eyed
2012-03-07 	CEO Cook kicks off Apple's iPad-unveiling event
2012-03-09 	Tablets are shaking up the chip industry, even more
2012-03-09 	S.Korea KOSPI extend gains but sets weekly decline
2012-03-09 	South Korea's KOSPI rises;Samsung Elec at all-time high
2012-03-13 	South Korea keeps JP Morgan, Samsung Sec, Daewoo Sec for Woori sale: source
2012-03-13 	S.Korea keeps JP Morgan, Samsung Sec, Daewoo Sec for Woori sale: source
2012-03-13 	Vampire books, iPads form new UK inflation benchmark
2012-03-14 	Apple to sell 65.6 million iPads this year, sees record pre-orders: analysts
2012-03-14 	S.Korea KOSPI climbs to 7-mth closing high on financials
2012-03-14 	Samsung loses bid to ban iPhone, iPad sales in Netherlands
2012-03-14 	Belgacom extends Samsung partnership into business mkt
2012-03-15 	CORRECTED-Samsung loses bid to ban iPhone, iPad sales in Netherlands
2012-03-15 	Dissected iPad reveals Samsung, Qualcomm parts
2012-03-16 	Samsung pulls out of Brazil's EAS shipyard-report
2012-03-16 	Seoul shares dip on profit-taking, up for the week
2012-03-18 	Qualcomm shares could rise 30 percent: Barron's
2012-03-19 	Seoul shares reverse gains as momentum fades
2012-03-19 	U.S. sets duties S.Korea, Mexico refrigerators
2012-03-19 	U.S. sets duties on South Korean, Mexican refrigerators
2012-03-19 	Bosch reviews battery JV with Samsung SDI
2012-03-21 	Samsung says picks Xian for first China chip plant
2012-03-21 	Apple's new iPhone will use bigger 4.6-inch display: report
2012-03-21 	Apple's new iPhone will use bigger 4.6-inch display-report
2012-03-22 	Samsung sees smartphones leading Africa growth
2012-03-22 	BlackBerry maker seeks Apple-focused app developer
2012-03-23 	Samsung picks MTS for Russian retail push
2012-03-23 	"REFILE-INSIGHT-Samsung: ""fast executioner"" seeks killer design"
2012-03-23 	"Insight: Samsung: ""fast executioner"" seeks killer design"
2012-03-23 	"Samsung: ""fast executioner"" seeks killer design"
2012-03-26 	S.Korea KOSPI reverses gains to close down, energy shares weigh
2012-03-27 	Australia regulator says Apple misleading consumers on iPad
2012-03-28 	Samsung C&T takes 15 pct stake in $4.8 bln CCS project
2012-03-28 	Samsung C&T takes 15 percent stake in $4.8 billion CCS project
2012-03-28 	Seoul shares dip as investors cash in on blue chips
2012-03-28 	Seoul shares set to edge down, Apple may support techs
2012-03-28 	S.Korean shares fall 1 pct; shipbuilders, brokerages weigh
2012-03-28 	ADR REPORT-Brazilian bank shares fall in New York
2012-03-29 	Seoul shares post near 3-week closing low; shipbuilders tumble
2012-03-30 	EU's Almunia: may probe Motorola, Apple, Microsoft dispute
2012-03-30 	S.Korea KOSPI sets largest quarterly rise in 2-1/2 years
2012-03-30 	SK hynix says submitted bid interest for Japan's Elpida
2012-04-02 	Samsung says China chip plant to cost $7 bln
2012-04-03 	POSCO offers $519 mln stake in SK Tel, Hana, KB -IFR
2012-04-03 	Seoul shares seen lower as Fed minutes dampen risk appetite
2012-04-03 	SanDisk sees weak demand, pricing hurting rev, margins
2012-04-04 	S.Korea KOSPI suffers worst fall in 3-1/2 months
