Date,Open,High,Low,Close,Volume,KDJ,W%R,RSI
2011/9/30,830000,840000,811000,840000,515612,1,0,0
2011/10/4,805000,832000,796000,828000,657900,0.888888889,-0.111111111,12001
2011/10/5,824000,850000,817000,842000,642056,0.757575758,-0.242424242,-13999
2011/10/6,874000,879000,842000,855000,599380,0.351351351,-0.648648649,-12999
2011/10/7,865000,881000,850000,860000,530184,0.322580645,-0.677419355,-4999
2011/10/10,878000,885000,872000,874000,344925,0.153846154,-0.846153846,-13999
2011/10/11,885000,885000,869000,881000,458310,0.75,-0.25,-6999
2011/10/12,872000,899000,870000,898000,430570,0.965517241,-0.034482759,-16999
2011/10/13,898000,899000,881000,890000,325323,0.5,-0.5,8001
2011/10/14,871000,894000,871000,886000,217010,0.652173913,-0.347826087,4001
2011/10/17,890000,895000,881000,890000,213511,0.642857143,-0.357142857,-3999
2011/10/18,875000,893000,871000,883000,276886,0.545454545,-0.454545455,7001
2011/10/19,885000,886000,870000,886000,214082,1,0,-2999
2011/10/20,886000,920000,883000,907000,568732,0.648648649,-0.351351351,-20999
2011/10/21,920000,925000,907000,917000,466140,0.555555556,-0.444444444,-9999
2011/10/24,913000,943000,911000,941000,375385,0.9375,-0.0625,-23999
2011/10/25,936000,951000,935000,945000,364160,0.625,-0.375,-3999
2011/10/26,933000,946000,927000,934000,250095,0.368421053,-0.631578947,11001
2011/10/27,929000,939000,919000,924000,348861,0.25,-0.75,10001
2011/10/28,928000,946000,927000,945000,537687,0.947368421,-0.052631579,-20999
2011/10/31,941000,970000,933000,968000,475848,0.945945946,-0.054054054,-22999
2011/11/1,968000,999000,962000,990000,619673,0.756756757,-0.243243243,-21999
2011/11/2,970000,978000,966000,971000,569092,0.416666667,-0.583333333,19001
2011/11/3,962000,971000,958000,967000,328174,0.692307692,-0.307692308,4001
2011/11/4,983000,1005000,982000,1005000,534096,1,0,-37999
2011/11/7,996000,1000000,986000,993000,280361,0.5,-0.5,12001
2011/11/8,986000,990000,965000,970000,341398,0.2,-0.8,23001
2011/11/9,970000,988000,966000,985000,386085,0.863636364,-0.136363636,-14999
2011/11/10,967000,973000,935000,935000,620121,0,-1,50001
2011/11/11,945000,984000,930000,983000,484935,0.981481481,-0.018518519,-47999
